"parent_sex","access_id","parent_sw_id","sw_id_as_child"
"sire_id","72476_1","WHSM0245B","WHSM0245"
"sire_id","72772_4","WHSM0405","WHSF0403"
"sire_id","73438_2","WHSM0527","WHSM0558"
"dam_id","46958_2","HSF0109B","HSF109B"
"dam_id","65144_2","HSF01201","HSF01301"
"dam_id","65577_2","HSF01319B","HSF01319BB"
"dam_id","66491_2","HSF01538B","HSM01538B"
"dam_id","67097_2","HSF01837","HSF01861"
"dam_id","67007_2","HSF01839","HSF01844"
"dam_id","67015_2","HSF01826","HSF01856"
"dam_id","67029_2","HSF01836","HSF01823"
"dam_id","66994_2","HSF01838","HSF01827"
"dam_id","67011_2","HSF01819","HSF01852"
"dam_id","67009_2","HSF01863","HSF01847"
"dam_id","66992_2","HSF01855","HSF01824"
"dam_id","67092_2","HSF01815","HSF01834"
"dam_id","67196_2","HSF01860","HSF01822"
"dam_id","66998_2","HSF01831","HSF01833"
"dam_id","66988_2","HSF01821","HSF01816"
"dam_id","67370_2","HSF01830","HSF01829"
"dam_id","66999_2","HSF01828","HSF01835"
"dam_id","67005_2","HSF01802","HSF01842"
"dam_id","66985_2","HSF01841","HSF01812"
"dam_id","66997_2","HSF01805","HSF01832"
"dam_id","67010_2","HSF01859","HSF01848"
"dam_id","67032_2","HSF01806","HSF01859"
"dam_id","67249_2","HSF01851","HSF01860"
"dam_id","66993_2","HSF01804","HSF01826"
"dam_id","66983_2","HSF01853","HSF01810"
"dam_id","67247_2","HSF01832","HSF01804"
"dam_id","66982_2","HSF01858","HSF01808"
"dam_id","67372_2","HSF01816","HSF01850"
"dam_id","66991_2","HSF01823","HSF01821"
"dam_id","67493_1","HSF01861","HSF01805"
"dam_id","67002_2","HSF01814","HSF01838"
"dam_id","67095_2","HSF01849","HSF01813"
"dam_id","67371_2","HSF01813","HSF01849"
"dam_id","67018_2","HSF01811","HSF01863"
"dam_id","66989_2","HSF01827","HSF01817"
"dam_id","66984_2","HSF01862","HSF01811"
"dam_id","67248_2","HSF01846","HSF01809"
"dam_id","66986_2","HSF01844","HSF01814"
"dam_id","67016_2","HSF01810","HSF01857"
"dam_id","67008_2","HSF01809","HSF01846"
"dam_id","66995_2","HSF01835","HSF01828"
"dam_id","67013_2","HSF01801","HSF01854"
"dam_id","67031_2","HSF01808","HSF01845"
"dam_id","67019_2","HSF01820","HSF01864"
"dam_id","66987_2","HSF01852","HSF01815"
"dam_id","67012_2","HSF01840","HSF01853"
"dam_id","67195_2","HSF01842","HSF01802"
"dam_id","67030_2","HSF01824","HSF01840"
"dam_id","67001_2","HSF01834","HSF01837"
"dam_id","66981_2","HSF01845","HSF01807"
"dam_id","66990_2","HSF01825","HSF01818"
"dam_id","67200_2","HSF01829","HSF01830"
"dam_id","67197_2","HSF01817","HSF01825"
"dam_id","67098_2","HSF01818","HSF01862"
"dam_id","66980_2","HSF01850","HSF01806"
"dam_id","67006_2","HSF01803","HSF01843"
"dam_id","67003_2","HSF01857","HSF01839"
"dam_id","67017_2","HSF01807","HSF01858"
"dam_id","66978_2","HSF01864","HSF01803"
"dam_id","67932_2","HSF01822","HSF01836"
"dam_id","67014_2","HSF01847","HSF01855"
"dam_id","67028_2","HSF01812","HSF01819"
"dam_id","67091_2","HSF01856","HSF01820"
"dam_id","67094_2","HSF01854","HSF01801"
"dam_id","67096_2","HSF01848","HSF01851"
"dam_id","67277_2","HSF01833","HSF01831"
"dam_id","67004_2","HSF01843","HSF01841"
"dam_id","72446_6","WHSF0240B","WHSF0240"
"dam_id","72447_2","WHSF0242B","WHSF0242"
"dam_id","72475_1","WHSF0244B","WHSF0244"
"dam_id","72774_3","WHSF0403","WHSM0405"
"dam_id","73309_2","WHSF0461","WSHF0461"
"dam_id","75069_2","WHSF0950","WHSFF0950"
"dam_id","75297_2","WHSF0918","WHSF0918 "
"dam_id","75803_3","WHSF1022","WHSF1022 "
"dam_id","75688_2","WHSF1027","WHSF1027 "
